label,value,standard_error,expression,maximum,minimum,non_negative,vary
input.1,1,None,None,,,False,False
input.0,0,None,None,,,False,False
area.1,1,None,None,,,False,False
area.Bulk,1.35,None,None,,,False,False
rel.r1,1,None,None,,,False,False
irf.common_backsweep,13140.6,None,None,,,False,False
FT7521rates.kF,0.000232272,2.37E-06,None,,0,False,True
FT7521scale.WLtr1,0.254419302,4.49E-05,None,,,False,True
FT7521scale.WLtr2,1.057610763,8.53E-05,None,,,False,True
FT7521scale.WLtr4,1,None,None,,,False,False
FT7521scalem.1,1,None,None,,,False,False
FT7521scalem.WLtr1a,0.045238638,0.000104841,None,,0,False,True
FT7521scalem.WLtr2a,0.035162484,4.95E-05,None,,0,False,True
FT7521scalem.WLtr4a,0.041547618,7.69E-05,None,,0,False,True
FT7521irfWLtr1.center,57.43931979,0.005897608,None,,0,False,True
FT7521irfWLtr1.width1,2.1945143,0.036214314,None,,0,False,True
FT7521irfWLtr1.width2,2.172475987,0.227615909,None,,0,False,True
FT7521irfWLtr1.scale1,1,None,None,,,False,False
FT7521irfWLtr1.scale2,0.174809518,0.078367394,None,,0,False,True
FT7521irfWLtr2.center,56.89810901,0.005991016,None,,0,False,True
FT7521irfWLtr2.width1,2.787971401,0.005788749,None,,0,False,True
FT7521irfWLtr2.width2,7.120867087,0.246450536,None,,0,False,True
FT7521irfWLtr2.scale1,1,None,None,,,False,False
FT7521irfWLtr2.scale2,0.157565096,0.002565221,None,,0,False,True
FT7521irfWLtr4.center,203.8808202,0.008092807,None,,0,False,True
FT7521irfWLtr4.width1,7.51643442,0.014571892,None,,0,False,True
FT7521irfWLtr4.width2,25.5251319,0.205020273,None,,0,False,True
FT7521irfWLtr4.scale1,1,None,None,,,False,False
FT7521irfWLtr4.scale2,0.19860936,0.002800285,None,,0,False,True
brates.k21,0.228021784,0.000869729,None,,0,False,True
brates.k32,0.055848142,0.000310869,None,,0,False,True
brates.k43,0.022492127,4.35E-05,None,,0,False,True
brates.k44,0.01,4.35E-05,None,,0,False,False
irf.dispcenter,720,None,None,,,False,False
irf.disp1,-3.982075459,0.01484736,None,,,False,True
irf.disp2,4.290092508,0.039272004,None,,0,False,True
input.slowtr1,0.1,6.01E-05,None,0.5,0,False,True
input.slowtr2,0.1,6.01E-05,None,0.5,0,False,True
input.slowtr4,0.1,6.01E-05,None,0.5,0,False,True
FT7521rates.slow,0.002877724,4.35E-05,None,,0,False,True
