label,value,standard_error,expression,maximum,minimum,non_negative,vary
input.1,1,None,None,,,False,False
input.0,0,None,None,,,False,False
area.1,1,None,None,,,False,False
area.Bulk,1.35,None,None,,,False,False
rel.r1,1,None,None,,,False,False
scalem.1,1,None,None,,,False,False
irf.common_backsweep,13140.6,None,None,,,False,False
CF9212rates.kF,0.000354035,None,None,,0,False,True
CF9212rates.kFf,0.000294088,None,None,,0,False,True
CF9212scale.FRLtr1,0.12,None,None,,,False,True
CF9212scale.FRLtr2,0.3,None,None,,,False,True
CF9212scale.FRLtr4,1,None,None,,,False,False
CF9212scalem.1,1,None,None,,,False,False
CF9212scalem.FRLtr1a,0.007976268,None,None,,,False,True
CF9212scalem.FRLtr1f,0.003496246,None,None,,0,False,True
CF9212scalem.FRLtr2a,7.23E-13,None,None,,0,False,True
CF9212scalem.FRLtr2f,0.004423669,None,None,,0,False,True
CF9212scalem.FRLtr4a,0.003320194,None,None,,0,False,True
CF9212scalem.FRLtr4f,0.00757329,None,None,,0,False,True
CF9212irfFRLtr1.center,57.32832445,None,None,,0,False,True
CF9212irfFRLtr1.width1,2.098499537,None,None,,0,False,True
CF9212irfFRLtr1.width2,6.735656295,None,None,,0,False,True
CF9212irfFRLtr1.scale1,1,None,None,,,False,False
CF9212irfFRLtr1.scale2,0.035312303,None,None,,0,False,True
CF9212irfFRLtr2.center,57.84423909,None,None,,0,False,True
CF9212irfFRLtr2.width1,2.927576752,None,None,,0,False,True
CF9212irfFRLtr2.width2,7.391667379,None,None,,0,False,True
CF9212irfFRLtr2.scale1,1,None,None,,,False,False
CF9212irfFRLtr2.scale2,0.062045054,None,None,,0,False,True
CF9212irfFRLtr4.center,217.3802832,None,None,,0,False,True
CF9212irfFRLtr4.width1,7.543640017,None,None,,0,False,True
CF9212irfFRLtr4.width2,25.5055601,None,None,,0,False,True
CF9212irfFRLtr4.scale1,1,None,None,,,False,False
CF9212irfFRLtr4.scale2,0.205955396,None,None,,0,False,True
rates.k21,0.244094452,None,None,,0,False,True
rates.k32,0.057002052,None,None,,0,False,True
rates.k43,0.016378229,None,None,,0,False,True
rates.k44,0.007912045,None,None,,0,False,True
irf.dispcenter,720,None,None,,,False,False
irf.disp3,-4.015739216,None,None,,,False,True
irf.disp4,3.930199773,None,None,,0,False,True
scale.freeChlaSAS,0.84,None,None,,,False,True
