label,value,standard_error,expression,maximum,minimum,non_negative,vary
input.Bulk,78.0,None,None,,,False,False
input.Red1,6.0,None,None,,,False,False
input.Red2,2.0,None,None,,,False,False
input.RC,6.0,None,None,,,False,False
input.1,1.0,None,None,,,False,False
input.Chlf1,6.0,None,None,,,False,False
input.Chlf2,2.0,None,None,,,False,False
input.0,0.0,None,None,,,False,False
area.1,1.0,None,None,,,False,False
area.Bulk,1.35,None,None,,,False,False
rel.r1,1.0,None,None,,,False,False
scalem.1,1.0,None,None,,,False,False
irf.common_backsweep,13140.6,None,None,,,False,False
CF9212rates.kF,0.000348726,None,None,,,False,False
CF9212rates.kFf,0.000310089,None,None,,,False,False
CF9212rates.WLRP1,0.0585,None,None,,,False,False
CF9212rates.FRLRP1,0.06,None,None,,,False,False
CF9212rates.gRed1C,-0.573446818,0.007506599,None,,,False,False
CF9212rates.gRed2C,-0.759676046,0.002378122,None,,,False,False
CF9212rates.ToBulkFromRed1,0.112304102,0.004200691,None,,,False,False
CF9212rates.ToRed1FromBulk,0.06329229312997889,None,$CF9212rates.ToBulkFromRed1*exp($CF9212rates.gRed1C),,,False,False
CF9212rates.ToBulkFromRed2,0.035503911,0.004673263,None,,,False,False
CF9212rates.ToRed2FromBulk,0.016609367001674653,None,$CF9212rates.ToBulkFromRed2*exp($CF9212rates.gRed2C),,,False,False
CF9212rates.gChlf1C,2.131822340770903,0.029795881589436454,None,,0.0,False,True
CF9212rates.gChlf2C,2.7183143331014414,0.023997886615823083,None,,0.0,False,True
CF9212rates.ToBulkFromChlf1,0.010548512881799173,0.00010649783524305264,None,,0.0,False,True
CF9212rates.ToChlf1FromBulk,0.08892623729786377,None,$CF9212rates.ToBulkFromChlf1*exp($CF9212rates.gChlf1C),,,False,False
CF9212rates.ToBulkFromChlf2,0.0016705912625667387,0.0001606542875300467,None,,0.0,False,True
CF9212rates.ToChlf2FromBulk,0.025317401010952135,None,$CF9212rates.ToBulkFromChlf2*exp($CF9212rates.gChlf2C),,,False,False
CF9212rates.gWLRCC,-1.5,0.002374177,None,,,False,False
CF9212rates.ToBulkFromWLRC,0.544742498,None,None,,,False,False
CF9212rates.ToWLRCFromBulk,0.1215484808183957,None,$CF9212rates.ToBulkFromWLRC*exp($CF9212rates.gWLRCC),,,False,False
CF9212rates.gFRLRCC,1.75,0.016094391,None,,,False,False
CF9212rates.ToBulkFromFRLRC,0.019072934034058,0.0001801551505696722,None,,0.0,False,True
CF9212rates.ToFRLRCFromBulk,0.10975715723167094,None,$CF9212rates.ToBulkFromFRLRC*exp($CF9212rates.gFRLRCC),,,False,False
CF9212rates.gWLRP1C_gWLRCC,5.12,None,None,,,False,False
CF9212rates.ToWLRCFromWLRP1,0.005378421,None,None,,,False,False
CF9212rates.ToWLRP1FromWLRC,0.9,None,None,,,False,False
CF9212rates.gFRLRP1C_gFRLRCC,2.0,None,None,,,False,False
CF9212rates.ToFRLRCFromFRLRP1,0.040600585,None,None,,,False,False
CF9212rates.ToFRLRP1FromFRLRC,0.3,None,None,,,False,False
CF9212rates.gChlf2C_gFRLRCC,0.9683143331014414,None,$CF9212rates.gChlf2C-$CF9212rates.gFRLRCC,,,False,False
CF9212rates.ToFRLRCFromChlf2,0.007800017423161909,0.0001309313590226822,None,,0.0,False,True
CF9212rates.ToChlf2FromFRLRC,0.02054135765738083,None,$CF9212rates.ToFRLRCFromChlf2*exp($CF9212rates.gChlf2C_gFRLRCC),,,False,False
CF9212rates.gChlf1C_gFRLRCC,0.38182234077090316,None,$CF9212rates.gChlf1C-$CF9212rates.gFRLRCC,,,False,False
CF9212rates.ToFRLRCFromChlf1,0.00675961685747326,0.00014447108848833506,None,,0.0,False,True
CF9212rates.ToChlf1FromFRLRC,0.009902512881348899,None,$CF9212rates.ToFRLRCFromChlf1*exp($CF9212rates.gChlf1C_gFRLRCC),,,False,False
CF9212rates.gChlf2C_gChlf1C,0.5864919923305383,None,$CF9212rates.gChlf2C-$CF9212rates.gChlf1C,,,False,False
CF9212rates.ToChlf1FromChlf2,0.0017045472222176456,0.00012072827771373013,None,,0.0,False,True
CF9212rates.ToChlf2FromChlf1,0.003064215275329053,None,$CF9212rates.ToChlf1FromChlf2*exp($CF9212rates.gChlf2C_gChlf1C),,,False,False
CF9212scale.FRLtr1,0.6557067124035569,0.047822927299812974,None,,0.0,False,True
CF9212scale.FRLtr2,1.661819679322356,0.12120260818671387,None,,0.0,False,True
CF9212scale.FRLtr4,5.542406379086259,0.4042396246789688,None,,0.0,False,True
CF9212scale.WLtr1,0.256260584,8.8e-05,None,,0.0,False,False
CF9212scale.WLtr2,0.564565509,0.000157266,None,,0.0,False,False
CF9212scale.WLtr4,1.0,None,None,,,False,False
CF9212scalem.1,1.0,None,None,,,False,False
CF9212scalem.WLtr1a,0.008342208,8.22e-05,None,,0.0,False,False
CF9212scalem.WLtr2a,0.007381028,3.33e-05,None,,0.0,False,False
CF9212scalem.WLtr4a,0.016142804,0.002125648,None,,0.0,False,False
CF9212scalem.FRLtr1a,0.009174989253454412,0.00018593248210296989,None,,0.0,False,True
CF9212scalem.FRLtr1f,0.003787647797875043,0.00024293451791403698,None,,0.0,False,True
