label,value,standard_error,expression,maximum,minimum,non_negative,vary
input.Bulk,78,None,None,,,False,False
input.Red1,6,None,None,,,False,False
input.Red2,2,None,None,,,False,False
input.RC,6,None,None,,,False,False
input.1,1,None,None,,,False,False
input.Chlf1,6,None,None,,,False,False
input.Chlf2,2,None,None,,,False,False
input.0,0,None,None,,,False,False
area.1,1,None,None,,,False,False
area.Bulk,1.35,None,None,,,False,False
rel.r1,1,None,None,,,False,False
scalem.1,1,None,None,,,False,False
irf.common_backsweep,13140.6,None,None,,,False,False
CF9212rates.kF,0.000348726,None,None,,,False,False
CF9212rates.kFf,0.000310089,None,None,,,False,False
CF9212rates.WLRP1,0.0585,None,None,,,False,False
CF9212rates.WLRP2,1.00E-12,None,None,,,False,False
CF9212rates.FRLRP1,0.06,None,None,,,False,False
CF9212rates.FRLRP2,1.00E-12,None,$CF9212rates.WLRP2,,,False,False
CF9212rates.gRed1C,-0.573446818,0.007506599,None,,,False,False
CF9212rates.gRed2C,-0.759676046,0.002378122,None,,,False,False
CF9212rates.ToBulkFromRed1,0.112304102,0.004200691,None,,,False,False
CF9212rates.ToRed1FromBulk,0.063292293,None,$CF9212rates.ToBulkFromRed1*exp($CF9212rates.gRed1C),,,False,False
CF9212rates.ToBulkFromRed2,0.035503911,0.004673263,None,,,False,False
CF9212rates.ToRed2FromBulk,0.016609367,None,$CF9212rates.ToBulkFromRed2*exp($CF9212rates.gRed2C),,,False,False
CF9212rates.gChlf1C,2.170077221,0.005995457,None,,,False,True
CF9212rates.gChlf2C,2.78008831,0.005240105,None,,,False,True
CF9212rates.ToBulkFromChlf1,0.011310507,0.005548847,None,,,False,True
CF9212rates.ToChlf1FromBulk,0.099068283,None,$CF9212rates.ToBulkFromChlf1*exp($CF9212rates.gChlf1C),,,False,False
CF9212rates.ToBulkFromChlf2,0.001641696,0.011342815,None,,,False,True
CF9212rates.ToChlf2FromBulk,0.026464869,None,$CF9212rates.ToBulkFromChlf2*exp($CF9212rates.gChlf2C),,,False,False
CF9212rates.gWLRCC,-1.5,0.002374177,None,,,False,False
CF9212rates.ToBulkFromWLRC,0.544742498,None,None,,,False,False
CF9212rates.ToWLRCFromBulk,0.121548481,None,$CF9212rates.ToBulkFromWLRC*exp($CF9212rates.gWLRCC),,,False,False
CF9212rates.gFRLRCC,1.75,0.016094391,None,,,False,False
CF9212rates.ToBulkFromFRLRC,0.02000876,0.022585526,None,,,False,True
CF9212rates.ToFRLRCFromBulk,0.115142464,None,$CF9212rates.ToBulkFromFRLRC*exp($CF9212rates.gFRLRCC),,,False,False
CF9212rates.gWLRP1C_gWLRCC,5.12,None,None,,,False,False
CF9212rates.ToWLRCFromWLRP1,0.005378421,None,None,,,False,False
CF9212rates.ToWLRP1FromWLRC,0.9,None,None,,,False,False
CF9212rates.gFRLRP1C_gFRLRCC,2,None,None,,,False,False
CF9212rates.ToFRLRCFromFRLRP1,0.040600585,None,None,,,False,False
CF9212rates.ToFRLRP1FromFRLRC,0.3,None,None,,,False,False
CF9212rates.gChlf2C_gFRLRCC,1.03008831,None,$CF9212rates.gChlf2C-$CF9212rates.gFRLRCC,,,False,False
CF9212rates.ToFRLRCFromChlf2,0.008482574,0.00703061,None,,,False,True
CF9212rates.ToChlf2FromFRLRC,0.023762347,None,$CF9212rates.ToFRLRCFromChlf2*exp($CF9212rates.gChlf2C_gFRLRCC),,,False,False
CF9212rates.gChlf1C_gFRLRCC,0.420077221,None,$CF9212rates.gChlf1C-$CF9212rates.gFRLRCC,,,False,False
CF9212rates.ToFRLRCFromChlf1,0.006469095,0.011439694,None,,,False,True
CF9212rates.ToChlf1FromFRLRC,0.009846474,None,$CF9212rates.ToFRLRCFromChlf1*exp($CF9212rates.gChlf1C_gFRLRCC),,,False,False
CF9212rates.gChlf2C_gChlf1C,0.610011089,None,$CF9212rates.gChlf2C-$CF9212rates.gChlf1C,,,False,False
CF9212rates.ToChlf1FromChlf2,0.001624365,0.056650453,None,,,False,True
CF9212rates.ToChlf2FromChlf1,0.002989566,None,$CF9212rates.ToChlf1FromChlf2*exp($CF9212rates.gChlf2C_gChlf1C),,,False,False
CF9212scale.FRLtr1,0.157860814,0.00013869,None,,0,False,True
CF9212scale.FRLtr2,0.399414601,0.000318955,None,,0,False,True
CF9212scale.FRLtr4,1.32936948,0.00106295,None,,0,False,True
CF9212scale.WLtr1,0.256777717,0.000106753,None,,0,False,True
CF9212scale.WLtr2,0.565326341,0.000196576,None,,0,False,True
CF9212scale.WLtr4,1,None,None,,,False,False
CF9212scalem.1,1,None,None,,,False,False
CF9212scalem.WLtr1a,0.008158897,8.28E-05,None,,0,False,True
CF9212scalem.WLtr2a,0.007466432,3.27E-05,None,,0,False,True
CF9212scalem.WLtr4a,0.016142804,0.002125648,None,,0,False,False
CF9212scalem.FRLtr1a,0.008644677,0.000113105,None,,0,False,True
CF9212scalem.FRLtr1f,0.003216552,0.000211024,None,,0,False,True
CF9212scalem.FRLtr2a,5.94E-16,4.30E-05,None,,0,False,True
CF9212scalem.FRLtr2f,0.005573612,6.23E-05,None,,0,False,True
CF9212scalem.FRLtr4a,0.003609365,1.64E-05,None,,0,False,True
CF9212scalem.FRLtr4f,0.011552341,0.000141558,None,,0,False,False
CF9212irfWLtr1.center,57.03108153,0.004536914,None,,0,False,True
CF9212irfWLtr1.width1,2.141470111,0.018413233,None,,0,False,True
CF9212irfWLtr1.width2,4.288663307,0.153408276,None,,0,False,True
CF9212irfWLtr1.scale1,1,None,None,,,False,False
CF9212irfWLtr1.scale2,0.202493201,0.024785147,None,,0,False,True
CF9212irfWLtr2.center,56.85253615,0.004436876,None,,0,False,True
CF9212irfWLtr2.width1,2.675816776,0.014576885,None,,0,False,True
CF9212irfWLtr2.width2,5.53407797,0.111272747,None,,0,False,True
CF9212irfWLtr2.scale1,1,None,None,,,False,False
CF9212irfWLtr2.scale2,0.230012678,0.015245309,None,,0,False,True
CF9212irfWLtr4.center,214.6082339,0.006540637,None,,0,False,True
CF9212irfWLtr4.width1,7.757420532,0.019524841,None,,0,False,True
CF9212irfWLtr4.width2,20.04139389,0.196185463,None,,0,False,True
CF9212irfWLtr4.scale1,1,None,None,,,False,False
CF9212irfWLtr4.scale2,0.229163163,0.005102896,None,,0,False,True
CF9212irfFRLtr1.center,57.48531038,0.00498263,None,,0,False,True
CF9212irfFRLtr1.width1,2.228308401,0.008783796,None,,0,False,True
CF9212irfFRLtr1.width2,12.00341687,0.429531063,None,,0,False,True
CF9212irfFRLtr1.scale1,1,None,None,,,False,False
CF9212irfFRLtr1.scale2,0.066855894,0.002901586,None,,0,False,True
CF9212irfFRLtr2.center,58.05259356,0.004478935,None,,0,False,True
CF9212irfFRLtr2.width1,2.892533288,0.018678687,None,,0,False,True
CF9212irfFRLtr2.width2,6.529489915,0.154426382,None,,0,False,True
CF9212irfFRLtr2.scale1,1,None,None,,,False,False
CF9212irfFRLtr2.scale2,0.218262633,0.015254094,None,,0,False,True
CF9212irfFRLtr4.center,217.6372231,0.005522297,None,,0,False,True
CF9212irfFRLtr4.width1,7.640866787,0.011461127,None,,0,False,True
CF9212irfFRLtr4.width2,23.46207983,0.127283084,None,,0,False,True
CF9212irfFRLtr4.scale1,1,None,None,,,False,False
CF9212irfFRLtr4.scale2,0.218117908,0.002351452,None,,0,False,True
xinput.BulkFRL,70,None,None,,,False,False
xinput.Bulkratio,0.897435897,None,$xinput.BulkFRL/$input.Bulk,,,False,False
xCF9212rates.ToBulkFromRed1,0.100785733,0.004241734,$CF9212rates.ToBulkFromRed1*$xinput.Bulkratio,,,False,False
xCF9212rates.ToBulkFromRed2,0.031862484,0.007640474,$CF9212rates.ToBulkFromRed2*$xinput.Bulkratio,,,False,False
scale.Red1SAS,1.25968743,0.002638438,None,,0,False,True
scale.WLRCSAS,1.114934852,0.001769937,None,,0,False,True
scale.FRLRCSAS,3.026931149,0.01434589,None,,0,False,True
irf.dispcenter,720,None,None,,,False,False
irf.disp1,-4.591040297,0.010367601,None,,,False,True
irf.disp2,5.315927189,0.031901048,None,,0,False,True
irf.disp3,-4.323595764,0.010849514,None,,,False,True
irf.disp4,3.97635534,0.019384796,None,,0,False,True
scale.Red2SAS,1.131727303,0.002201893,None,,0,False,True
scale.BulkSAS,0.904281765,0.002481289,None,,0,False,True
