label,value,standard_error,expression,maximum,minimum,non_negative,vary
input.1,1,None,None,,,False,False
input.0,0,None,None,,,False,False
area.1,1,None,None,,,False,False
area.Bulk,1.35,None,None,,,False,False
rel.r1,1,None,None,,,False,False
scalem.1,1,None,None,,,False,False
irf.common_backsweep,13140.6,None,None,,,False,False
FT7521rates.kF,0.000247297,None,None,,0,False,True
FT7521rates.kFf,0.0003,None,None,,0,False,False
FT7521scale.FRLtr1,0.451762178,None,None,,,False,True
FT7521scale.FRLtr2,0.227087713,None,None,,,False,True
FT7521scale.FRLtr4,1,None,None,,,False,False
FT7521scalem.1,1,None,None,,,False,False
FT7521scalem.FRLtr1a,0.002540524,None,None,,,False,True
FT7521scalem.FRLtr1f,8.73E-09,None,None,,0,False,True
FT7521scalem.FRLtr2a,0.028156711,None,None,,0,False,True
FT7521scalem.FRLtr2f,0.012395284,None,None,,0,False,True
FT7521scalem.FRLtr4a,0.022372916,None,None,,0,False,True
FT7521scalem.FRLtr4f,0.008349687,None,None,,0,False,True
FT7521irfFRLtr1.center,57.15223447,None,None,,0,False,True
FT7521irfFRLtr1.width1,2.159594044,None,None,,0,False,True
FT7521irfFRLtr1.width2,1236.390941,None,None,,0,False,True
FT7521irfFRLtr1.scale1,1,None,None,,,False,False
FT7521irfFRLtr1.scale2,1.281993543,None,None,,0,False,True
FT7521irfFRLtr2.center,56.23522621,None,None,,0,False,True
FT7521irfFRLtr2.width1,2.555166823,None,None,,0,False,True
FT7521irfFRLtr2.width2,2.141797817,None,None,,0,False,True
FT7521irfFRLtr2.scale1,1,None,None,,,False,False
FT7521irfFRLtr2.scale2,0.001039581,None,None,,0,False,True
FT7521irfFRLtr4.center,212.571767,None,None,,0,False,True
FT7521irfFRLtr4.width1,7.86645168,None,None,,0,False,True
FT7521irfFRLtr4.width2,36.11778433,None,None,,0,False,True
FT7521irfFRLtr4.scale1,1,None,None,,,False,False
FT7521irfFRLtr4.scale2,0.130534058,None,None,,0,False,True
rates.k21,0.246065637,None,None,,0,False,True
rates.k32,0.063144811,None,None,,0,False,True
rates.k43,0.01759866,None,None,,0,False,True
rates.k44,0.007277478,None,None,,0,False,True
irf.dispcenter,720,None,None,,,False,False
irf.disp3,-3.551091897,None,None,,,False,True
irf.disp4,4.510216016,None,None,,0,False,True
scale.freeChlaSAS,1.265010572,None,None,,,False,True
