label,value,standard_error,expression,maximum,minimum,non_negative,vary
input.1,1,None,None,,,False,False
input.0,0,None,None,,,False,False
area.1,1,None,None,,,False,False
area.Bulk,1.35,None,None,,,False,False
rel.r1,1,None,None,,,False,False
irf.common_backsweep,13140.6,None,None,,,False,False
FT7521rates.kF,0.000217451,2.37E-06,None,,0.0002,False,True
FT7521scale.WLtr1,0.260344447,4.49E-05,None,,,False,True
FT7521scale.WLtr2,1.07516231,8.53E-05,None,,,False,True
FT7521scale.WLtr4,1,None,None,,,False,False
FT7521scalem.1,1,None,None,,,False,False
FT7521scalem.WLtr1a,0.016148556,0.000104841,None,,0,False,True
FT7521scalem.WLtr2a,0.014234157,4.95E-05,None,,0,False,True
FT7521scalem.WLtr4a,0.030058816,7.69E-05,None,,0,False,True
FT7521irfWLtr1.center,57.45708741,0.005897608,None,,0,False,True
FT7521irfWLtr1.width1,2.187865738,0.036214314,None,,1.4,False,True
FT7521irfWLtr1.width2,9.903075989,0.227615909,None,,0,False,True
FT7521irfWLtr1.scale1,1,None,None,,,False,False
FT7521irfWLtr1.scale2,0.007443176,0.078367394,None,0.5,0,False,True
FT7521irfWLtr2.center,56.91858958,0.005991016,None,,0,False,True
FT7521irfWLtr2.width1,2.872815555,0.005788749,None,,0,False,True
FT7521irfWLtr2.width2,11.05726561,0.246450536,None,,0,False,True
FT7521irfWLtr2.scale1,1,None,None,,,False,False
FT7521irfWLtr2.scale2,0.099087358,0.002565221,None,,0,False,True
FT7521irfWLtr4.center,204.0031177,0.008092807,None,,0,False,True
FT7521irfWLtr4.width1,7.368330747,0.014571892,None,,0,False,True
FT7521irfWLtr4.width2,22.33201263,0.205020273,None,,0,False,True
FT7521irfWLtr4.scale1,1,None,None,,,False,False
FT7521irfWLtr4.scale2,0.241835395,0.002800285,None,,0,False,True
brates.k21,0.19512534,0.000869729,None,,0,False,True
brates.k32,0.053257752,0.000310869,None,,0,False,True
brates.k33,0.021041982,4.35E-05,None,,0,False,True
irf.dispcenter,720,None,None,,,False,False
irf.disp1,-3.835202657,0.01484736,None,,,False,True
irf.disp2,3.971624663,0.039272004,None,,0,False,True
input.slowtr1,0.045804176,6.01E-05,None,0.5,0,False,True
input.slowtr2,0.037754475,6.01E-05,None,0.5,0,False,True
input.slowtr4,0.024122089,6.01E-05,None,0.5,0,False,True
FT7521rates.slow,0.001109772,4.35E-05,None,,0.0005,False,True
