label,value,standard_error,expression,maximum,minimum,non_negative,vary
input.1,1,None,None,,,False,False
input.0,0,None,None,,,False,False
area.1,1,None,None,,,False,False
area.Bulk,1.35,None,None,,,False,False
rel.r1,1,None,None,,,False,False
irf.common_backsweep,13140.6,None,None,,,False,False
FT7521rates.kF,0.000171313,2.37E-06,None,,0,False,True
FT7521scale.WLtr1,0.265674066,4.49E-05,None,,,False,True
FT7521scale.WLtr2,1.081841571,8.53E-05,None,,,False,True
FT7521scale.WLtr4,1,None,None,,,False,False
FT7521scalem.1,1,None,None,,,False,False
FT7521scalem.WLtr1a,0.017901195,0.000104841,None,,0,False,True
FT7521scalem.WLtr2a,0.022634019,4.95E-05,None,,0,False,True
FT7521scalem.WLtr4a,0.044831283,7.69E-05,None,,0,False,True
FT7521irfWLtr1.center,57.46389473,0.005897608,None,,0,False,True
FT7521irfWLtr1.width1,2,0.036214314,None,,1.4,False,True
FT7521irfWLtr1.width2,2.362896132,0.227615909,None,,0,False,True
FT7521irfWLtr1.scale1,1,None,None,,,False,False
FT7521irfWLtr1.scale2,0.1,0.078367394,None,0.5,0,False,True
FT7521irfWLtr2.center,56.93068648,0.005991016,None,,0,False,True
FT7521irfWLtr2.width1,2.840712607,0.005788749,None,,0,False,True
FT7521irfWLtr2.width2,8.048361688,0.246450536,None,,0,False,True
FT7521irfWLtr2.scale1,1,None,None,,,False,False
FT7521irfWLtr2.scale2,0.137776358,0.002565221,None,,0,False,True
FT7521irfWLtr4.center,203.9465601,0.008092807,None,,0,False,True
FT7521irfWLtr4.width1,7.340998962,0.014571892,None,,0,False,True
FT7521irfWLtr4.width2,21.1227487,0.205020273,None,,0,False,True
FT7521irfWLtr4.scale1,1,None,None,,,False,False
FT7521irfWLtr4.scale2,0.237813124,0.002800285,None,,0,False,True
brates.k21,0.279734042,0.000869729,None,,0,False,True
brates.k32,0.070162632,0.000310869,None,,0,False,True
brates.k33,0.027374908,4.35E-05,None,,0,False,True
irf.dispcenter,720,None,None,,,False,False
irf.disp1,-3.83170703,0.01484736,None,,,False,True
irf.disp2,4.679211186,0.039272004,None,,0,False,True
input.slowtr1,0.046767342,6.01E-05,None,0.5,0,False,True
input.slowtr2,0.033759962,6.01E-05,None,0.5,0,False,True
input.slowtr4,0.022649182,6.01E-05,None,0.5,0,False,True
FT7521rates.slow,0.00101,4.35E-05,None,,0.001,False,True
