label,value,standard_error,expression,maximum,minimum,non_negative,vary
input.Bulk,78,None,None,,,False,False
input.Red1,6,None,None,,,False,False
input.Red2,2,None,None,,,False,False
input.RC,6,None,None,,,False,False
input.1,1,None,None,,,False,False
input.Chlf1,6,None,None,,,False,False
input.Chlf2,2,None,None,,,False,False
input.0,0,None,None,,,False,False
area.1,1,None,None,,,False,False
area.Bulk,1.35,None,None,,,False,False
rel.r1,1,None,None,,,False,False
scalem.1,1,None,None,,,False,False
irf.common_backsweep,13140.6,None,None,,,False,False
CF9212rates.kF,0.000354035,1.09E-06,None,,,False,True
CF9212rates.kFf,0.000310089,5.10E-06,None,,,False,True
CF9212rates.WLRP1,0.0585,None,None,,,False,False
CF9212rates.WLRP2,1.00E-12,None,None,,,False,False
CF9212rates.FRLRP1,0.06,None,None,,,False,False
CF9212rates.FRLRP2,1.00E-12,None,$CF9212rates.WLRP2,,,False,False
dG.Red1C,-0.839422512,None,None,,,False,False
dG.Red2C,-0.876610727,None,None,,,False,False
CF9212rates.ToBulkFromRed1,0.092357539,None,None,,,False,False
CF9212rates.ToRed1FromBulk,0.039894754,None,$CF9212rates.ToBulkFromRed1*exp($dG.Red1C),,,False,False
CF9212rates.ToBulkFromRed2,0.03197362,None,None,,,False,False
CF9212rates.ToRed2FromBulk,0.013307136,None,$CF9212rates.ToBulkFromRed2*exp($dG.Red2C),,,False,False
dG.Chlf1,2.198443467,0.016273687,None,,,False,True
dG.Chlf2,2.34086231,0.017299228,None,,,False,True
CF9212rates.ToBulkFromChlf1,0.009378884,6.44E-05,None,,,False,True
CF9212rates.ToChlf1FromBulk,0.084512902,None,$CF9212rates.ToBulkFromChlf1*exp($dG.Chlf1),,,False,False
CF9212rates.ToBulkFromChlf2,0.002053564,0.000104528,None,,,False,True
CF9212rates.ToChlf2FromBulk,0.021336925,None,$CF9212rates.ToBulkFromChlf2*exp($dG.Chlf2),,,False,False
dG.WLRCC,-1.5,None,None,,,False,False
CF9212rates.ToBulkFromWLRC,0.544742498,None,None,,,False,False
CF9212rates.ToWLRCFromBulk,0.121548481,None,$CF9212rates.ToBulkFromWLRC*exp($dG.WLRCC),,,False,False
dG.FRLRC,1.75,None,None,,,False,False
CF9212rates.ToBulkFromFRLRC,0.015747046,9.06E-05,None,,,False,True
CF9212rates.ToFRLRCFromBulk,0.090617996,None,$CF9212rates.ToBulkFromFRLRC*exp($dG.FRLRC),,,False,False
dG.WLRP1C_WLRCC,5.12,None,None,,,False,False
CF9212rates.ToWLRCFromWLRP1,0.005378421,None,None,,,False,False
CF9212rates.ToWLRP1FromWLRC,0.9,None,None,,,False,False
dG.FRLRP1C_FRLRC,2,None,None,,,False,False
CF9212rates.ToFRLRCFromFRLRP1,0.040600585,None,None,,,False,False
CF9212rates.ToFRLRP1FromFRLRC,0.3,None,None,,,False,False
dG.Chlf2_FRLRC,0.59086231,None,$dG.Chlf2-$dG.FRLRC,,,False,False
CF9212rates.ToFRLRCFromChlf2,0.006507926,8.46E-05,None,,,False,True
CF9212rates.ToChlf2FromFRLRC,0.011750351,None,$CF9212rates.ToFRLRCFromChlf2*exp($dG.Chlf2_FRLRC),,,False,False
dG.Chlf1_FRLRC,0.448443467,None,$dG.Chlf1-$dG.FRLRC,,,False,False
CF9212rates.ToFRLRCFromChlf1,0.008319378,0.000110168,None,,,False,True
CF9212rates.ToChlf1FromFRLRC,0.013027089,None,$CF9212rates.ToFRLRCFromChlf1*exp($dG.Chlf1_FRLRC),,,False,False
dG.Chlf2_Chlf1,0.142418843,None,$dG.Chlf2-$dG.Chlf1,,,False,False
CF9212rates.ToChlf1FromChlf2,0.002442209,8.37E-05,None,,,False,True
CF9212rates.ToChlf2FromChlf1,0.002816013,None,$CF9212rates.ToChlf1FromChlf2*exp($dG.Chlf2_Chlf1),,,False,False
CF9212scale.FRLtr1,0.137199545,0.000261638,None,,0,False,True
CF9212scale.FRLtr2,0.347273028,0.000652524,None,,0,False,True
CF9212scale.FRLtr4,1.161271897,0.002181598,None,,0,False,True
CF9212scale.WLtr1,0.252620673,0.000121169,None,,0,False,True
CF9212scale.WLtr2,0.556885735,0.000208477,None,,0,False,True
CF9212scale.WLtr4,1,None,None,,,False,False
CF9212scalem.1,1,None,None,,,False,False
CF9212scalem.WLtr1a,0.011494507,8.91E-05,None,,0,False,True
CF9212scalem.WLtr2a,0.00896079,3.40E-05,None,,0,False,True
CF9212scalem.WLtr4a,0.016142804,None,None,,0,False,False
CF9212scalem.FRLtr1a,0.00995986,0.000132686,None,,0,False,True
CF9212scalem.FRLtr1f,0.004229406,0.000186394,None,,0,False,True
CF9212scalem.FRLtr2a,1.60E-06,5.23E-05,None,,0,False,True
CF9212scalem.FRLtr2f,0.006283696,6.18E-05,None,,0,False,True
CF9212scalem.FRLtr4a,0.004160175,2.01E-05,None,,0,False,True
CF9212scalem.FRLtr4f,0.011552341,None,None,,0,False,False
CF9212irfWLtr1.center,57.10352746,0.004605543,None,,0,False,True
CF9212irfWLtr1.width1,2.255864686,0.004888774,None,,0,False,True
CF9212irfWLtr1.width2,13.11028386,0.409440196,None,,0,False,True
CF9212irfWLtr1.scale1,1,None,None,,,False,False
CF9212irfWLtr1.scale2,0.060042973,0.001538705,None,,0,False,True
CF9212irfWLtr2.center,56.93681893,0.004575152,None,,0,False,True
CF9212irfWLtr2.width1,2.777829268,0.006374826,None,,0,False,True
CF9212irfWLtr2.width2,9.510152336,0.155382851,None,,0,False,True
CF9212irfWLtr2.scale1,1,None,None,,,False,False
CF9212irfWLtr2.scale2,0.112609962,0.002975294,None,,0,False,True
CF9212irfWLtr4.center,214.8418682,0.006809681,None,,0,False,True
CF9212irfWLtr4.width1,8.052563849,0.014065238,None,,0,False,True
CF9212irfWLtr4.width2,27.90460755,0.205002308,None,,0,False,True
CF9212irfWLtr4.scale1,1,None,None,,,False,False
CF9212irfWLtr4.scale2,0.185316769,0.002596782,None,,0,False,True
CF9212irfFRLtr1.center,57.26750584,0.005441916,None,,0,False,True
CF9212irfFRLtr1.width1,2.096189346,0.008725284,None,,0,False,True
CF9212irfFRLtr1.width2,10.77180953,0.867348239,None,,0,False,True
CF9212irfFRLtr1.scale1,1,None,None,,,False,False
CF9212irfFRLtr1.scale2,0.044587787,0.002741766,None,,0,False,True
CF9212irfFRLtr2.center,57.793346,0.005254472,None,,0,False,True
CF9212irfFRLtr2.width1,2.816821515,0.019110337,None,,0,False,True
CF9212irfFRLtr2.width2,6.239082102,0.25487878,None,,0,False,True
CF9212irfFRLtr2.scale1,1,None,None,,,False,False
CF9212irfFRLtr2.scale2,0.155615605,0.014842164,None,,0,False,True
CF9212irfFRLtr4.center,217.3299264,0.006750364,None,,0,False,True
CF9212irfFRLtr4.width1,7.857329666,0.007432626,None,,0,False,True
CF9212irfFRLtr4.width2,31.50090719,0.23760479,None,,0,False,True
CF9212irfFRLtr4.scale1,1,None,None,,,False,False
CF9212irfFRLtr4.scale2,0.147342048,0.00075134,None,,0,False,True
xinput.BulkFRL,70,None,None,,,False,False
xinput.Bulkratio,0.897435897,None,$xinput.BulkFRL/$input.Bulk,,,False,False
xCF9212rates.ToBulkFromRed1,0.082884971,None,$CF9212rates.ToBulkFromRed1*$xinput.Bulkratio,,,False,False
xCF9212rates.ToBulkFromRed2,0.028694274,None,$CF9212rates.ToBulkFromRed2*$xinput.Bulkratio,,,False,False
scale.Red1SAS,1.05399721,0.002266084,None,,0,False,True
scale.WLRCSAS,0.971141426,0.0014727,None,,0,False,True
scale.FRLRCSAS,2.393249795,0.017052304,None,,0,False,True
irf.dispcenter,720,None,None,,,False,False
irf.disp1,-4.131642021,0.010622591,None,,,False,True
irf.disp2,5.161802788,0.029970309,None,,0,False,True
irf.disp3,-4.100709316,0.011045484,None,,,False,True
irf.disp4,3.928620299,0.022855861,None,,0,False,True
scale.Red2SAS,0.995343462,0.001938591,None,,0,False,True
scale.BulkSAS,0.950246039,0.002698462,None,,0,False,True
