label,value,standard_error,expression,maximum,minimum,non_negative,vary
input.Bulk,78,None,None,,,False,False
input.Red1,6,None,None,,,False,False
input.Red2,2,None,None,,,False,False
input.RC,6,None,None,,,False,False
input.1,1,None,None,,,False,False
input.0,0,None,None,,,False,False
area.1,1,None,None,,,False,False
area.Bulk,1.35,None,None,,,False,False
rel.r1,1,None,None,,,False,False
irf.common_backsweep,13140.6,None,None,,,False,False
CF9212rates.kF,0.000354035,None,None,,0,False,False
CF9212rates.WLRP1,0.0585,None,None,,,False,True
CF9212scale.WLtr1,0.25521478,3.27E-05,None,,0,False,True
CF9212scale.WLtr2,0.558854174,6.01E-05,None,,0,False,True
CF9212scale.WLtr4,1,None,None,,,False,False
CF9212scalem.1,1,None,None,,,False,False
CF9212scalem.WLtr1a,0.009801249,25.27168267,None,,0,False,True
CF9212scalem.WLtr2a,0.007513054,19.37177025,None,,0,False,True
CF9212scalem.WLtr4a,0.014974942,38.61164329,None,,0,False,True
CF9212irfWLtr1.center,57.18317186,0.003829027,None,,0,False,True
CF9212irfWLtr1.width1,2.167685004,0.007477162,None,,0,False,True
CF9212irfWLtr1.width2,5.754457862,0.08806806,None,,0,False,True
CF9212irfWLtr1.scale1,1,None,None,,,False,False
CF9212irfWLtr1.scale2,0.179248685,0.006246608,None,,0,False,True
CF9212irfWLtr2.center,57.03055693,0.003773349,None,,0,False,True
CF9212irfWLtr2.width1,2.756185545,0.006157766,None,,0,False,True
CF9212irfWLtr2.width2,7.446843918,0.074955921,None,,0,False,True
CF9212irfWLtr2.scale1,1,None,None,,,False,False
CF9212irfWLtr2.scale2,0.182242252,0.0039968,None,,0,False,True
CF9212irfWLtr4.center,214.9168378,0.005350562,None,,0,False,True
CF9212irfWLtr4.width1,7.841050125,0.0131355,None,,0,False,True
CF9212irfWLtr4.width2,21.13895085,0.133917999,None,,0,False,True
CF9212irfWLtr4.scale1,1,None,None,,,False,False
CF9212irfWLtr4.scale2,0.23958986,0.003242098,None,,0,False,True
scale.WLRCSAS,0.163626858,0.000248075,None,,0,False,True
irf.dispcenter,720,None,None,,,False,False
irf.disp1,-4.092990846,0.010088892,None,,,False,True
irf.disp2,5.662703295,0.026831759,None,,0,False,True
